,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
376,GA,"lat:32.03059943, long:-84.41606653","Few U.S. Presidents have had such close ties with where they were born and raised. The rural southern culture of Plains, Georgia, that revolves around farming, church and school, had a large influence in molding the character and in shaping the political policies of the 39th President of the United States.",National Historic Site,jica,F63CFF21-C861-422D-A725-B8F3ECFF6EAE,"The Jimmy Carter National Historic Site, Plains High School Museum and Visitor Center is located in Plains, Georgia. The address is 300 North Bond Street. The zip code is 31780",http://www.nps.gov/jica/planyourvisit/directions.htm,Jimmy Carter National Historic Site,https://www.nps.gov/jica/index.htm,Weather in Southwest Georgia can change in the blink of an eye during the summer months. Thunderstorms and high temperatures can make it unpleasant for visitors. Check the local forecast and dress appropriately.,Jimmy Carter
377,OR,"lat:44.62566508, long:-119.8811491","Colorful rock formations at John Day Fossil Beds preserve a world class record of plant and animal evolution, changing climate, and past ecosystems that span over 40 million years.  Exhibits and a working lab at the Thomas Condon Paleontology and Visitor Center as well as scenic drives and hikes at all three units allow visitors to explore the prehistoric past of Oregon and see science in action.",National Monument,joda,B2577D2A-A33E-4DCF-B6F8-C299E1DFEC19,"John Day Fossil Beds encompasses 14,000 acres in three geographically separated units in Oregon: Sheep Rock, Painted Hills, and Clarno. The Sheep Rock Unit is located between the towns of Dayville and Kimberly. The Painted Hills Unit is located 9 miles northwest of of the town of Mitchell. The Clarno Unit is located on Highway 218 twenty miles west of the town of Fossil.",http://www.nps.gov/joda/planyourvisit/directions.htm,John Day Fossil Beds National Monument,https://www.nps.gov/joda/index.htm,"Weather conditions at John Day Fossil Beds National Monument are highly variable in this semi-arid desert landscape. Summer highs can climb into the 110's. Winters tend to be fairly mild, with occassional snow and ice and lows occasionally dipping into the single digits.",John Day Fossil Beds
378,GA,"lat:33.95370717, long:-84.59214186","Kennesaw Mountain National Battlefield Park is a 2,965 acre National Battlefield that preserves a Civil War battleground of the Atlanta Campaign. Opposing forces maneuvered and fought here from June 19, 1864 until July 2, 1864. Although most famous as a Civil War battlefield, Kennesaw Mountain has a much richer story.",National Battlefield Park,kemo,AA1E3B48-8B98-4F47-A642-C266A92AB523,"Kennesaw Mountain NBP is fairly spread out with multiple parking lots. Many visitors begin their visit at the Visitor Center located at 900 Kennesaw Mountain Dr. and orient themselves to the park with Ranger or Volunteer. For more detailed directions, please see link below.",http://www.nps.gov/kemo/planyourvisit/directions.htm,Kennesaw Mountain National Battlefield Park,https://www.nps.gov/kemo/index.htm,"Before you start your trip to the mountain, check the local weather forecast to be sure that you will have a dry time. Though we are located north of Atlanta, we're still have the same hot summers and mild winters as our neighbors. The mountain top generally ranges 8-10 degrees cooler than at the base. In fall and winter, be prepared with a light weight jacket on hand. After planning your activities, check back to see what the weather will have in store for your day.",Kennesaw Mountain
379,SC,"lat:35.13900723, long:-81.38978712","Thomas Jefferson called it ""The turn of the tide of success."" The battle of Kings Mountain, fought October 7th, 1780, was an important American victory during the Revolutionary War. The battle was the first major patriot victory to occur after the British invasion of Charleston, SC in May 1780. The park preserves the site of this important battle.",National Military Park,kimo,C7C40543-5879-48FC-8E55-C26F3E0B4CCD,"Kings Mountain National Military Park is located on South Carolina Highway 216.
From Greenville, SC travel on I-85 North to NC Exit #2. Turn right onto Hwy 216.
From Charlotte, NC travel on I- 85 South to NC Exit #2. Turn left onto Hwy 216.",http://www.nps.gov/kimo/planyourvisit/directions.htm,Kings Mountain National Military Park,https://www.nps.gov/kimo/index.htm,Temperatures for the area range from very hot and humid in the summer to cool and moderate in the winter.,Kings Mountain
380,IN,"lat:38.11817004, long:-86.99656861",Abraham Lincoln grew from youth to manhood on this southern Indiana soil.  Many character and moral traits of one of the world's most respected leaders was formed and nurtured here.  Explore Lincoln's boyhood and learn about the boy who would one day become the leader of our nation.,National Memorial,libo,E9A0608F-46D6-4072-939F-C81E27AAB236,"From the east or west - From Interstate 64, exit onto US 231, (exit 57A). Travel south on US 231 to Indiana Highway 162. Take the Santa Claus/Gentryville exit. Turn west (right) on Indiana Highway 162; go 1-1/2 miles to the park entrance on the right.

From the north or south - From US 231 take the Santa Claus/Gentryville exit. Turn west on Indiana Highway 162; go 1-1/2 miles to the park entrance on the right.",http://www.nps.gov/libo/planyourvisit/directions.htm,Lincoln Boyhood National Memorial,https://www.nps.gov/libo/index.htm,"Southern Indiana has a moderate climate, characterized by warm, yet moist conditions. Summers are usually warm, and winters cool. Much of the area's average 46 inches of precipitation falls in spring, the rainiest season.",Lincoln Boyhood
381,AL,"lat:34.41461863, long:-85.61734327","Little River is unique because it flows for most of its length atop Lookout Mountain in northeast Alabama. Forested uplands, waterfalls, canyon rims and bluffs, pools, boulders, and sandstone cliffs offer settings for a variety of recreational activities. Natural resources and cultural heritage come together to tell the story of the Preserve, a special place in the Southern Appalachians.",National Preserve,liri,C03CF86E-BFB5-470E-AFF3-C1798A61FFE5,"GPS Address: 472 AL Hwy 35, Fort Payne, AL 35967. Our address was updated by 911 and some GPS units will send you to an incorrect address. Please use this address for GPS units.",http://www.nps.gov/liri/planyourvisit/directions.htm,Little River Canyon National Preserve,https://www.nps.gov/liri/index.htm,"The weather in Fort Payne, Alabama is mild. The average temperature in the winter is in the 20's. The average summer temperature is in the high 80's. We receive about 55 inches of rain each year. Snowfall varies, but only lasts a few days per event.",Little River Canyon
382,MD,"lat:39.36084236, long:-77.39637677","During the summer of 1864, the Confederacy carried out a bold plan to turn the tide of the Civil War in their favor.  They planned to capture Washington, DC and influence the election of 1864.  On July 9, however, Federal soldiers outnumbered three to one, fought gallantly along the banks of the Monocacy River in an effort to buy time for Union reinforcement to arrive in Washington, DC.",National Battlefield,mono,8F17B3D6-BFA2-49F2-B553-C10B2B3A3EED,"From the North (U.S. 15) or West (Hagerstown):
Use I-70 east and take Exit 54.  Bear right then take a left onto Rt. 355.  The visitor center will be on the left.

From the East (Baltimore):
Use I-70 west and take Exit 54. Bear left then take a left onto Rt. 355. The visitor center will be on the left.

From the South (Washington):
Use I-270 north to I-70 east and take Exit 54.  Bear right then take a left onto Rt. 355.  The visitor center will be on the the left.",http://www.nps.gov/mono/planyourvisit/directions.htm,Monocacy National Battlefield,https://www.nps.gov/mono/index.htm,"Spring (March - May) Temperatures: Average high is 67 degrees with a low of 53 degrees

Summer (June - August) Temperatures: Average high is 87 degrees with a low of 65 degrees

Fall (September - November) Temperatures: Average high is 68 degrees with a low of 48 degrees

Winter (December - February) Temperatures: Average high is 45 degrees with a low of 27 degrees

(Source: www.usclimatedata.com)",Monocacy
383,AZ,"lat:34.62237771, long:-111.8147857","Today we gaze through the windows of the past into one of the best preserved cliff dwellings in North America. This 20 room high-rise apartment, nestled into a towering limestone cliff, tells a story of ingenuity, survival and ultimately, prosperity in an unforgiving desert landscape.

Come marvel at this enduring legacy of the Sinagua culture and reveal a people surprisingly similar to ourselves.",National Monument,moca,D87E3D6F-8007-46F0-971A-B3BC191CC888,"Montezuma Castle: Follow I-17 to exit 289 (90 minutes north of Phoenix, 45 minutes south of Flagstaff).  Drive east (through two traffic circles) for approximately 1/2 mile to the blinking red light. Turn left onto Montezuma Castle Road.

Montezuma Well: Follow I-17 to exit 293 (north of the exit for Montezuma Castle). Continue through the towns of McGuireville and Rimrock, following the signs for 4 miles to the entrance to the Well.",http://www.nps.gov/moca/planyourvisit/directions.htm,Montezuma Castle National Monument,https://www.nps.gov/moca/index.htm,"Summer: Hot. Temperatures range from 95°F (35°C) beyond 110°F (42°C). Nighttime temperatures can be much cooler, around 70°F (21°C). From late June through early August, heavy rains called monsoons are common in the afternoons.  

Winter: Cool. Highs average around 55°F (13°C); lows may be in the teens (-10°C). Snow is rare, but possible.

For detailed information, visit the National Weather Service: http://forecast.weather.gov/MapClick.php?lat=34.61151944900047&lon=-111.8389592099997#.Vi_FZX6rSUk",Montezuma Castle
384,"AL,MS,TN","lat:33.78002293, long:-89.03092439","The Natchez Trace Parkway is a 444-mile recreational road and scenic drive through three states. It roughly follows the ""Old Natchez Trace"" a historic travel corridor used by American Indians, ""Kaintucks,"" European settlers, slave traders, soldiers, and future presidents. Today, people can enjoy not only a scenic drive but also hiking, biking, horseback riding, and camping along the parkway.",Parkway,natr,E8A0F0B6-983F-4B9A-9A67-BFF6F9E4204A,"Directions to the Natchez Trace Parkway vary greatly depending on what part of the tri-state Parkway you are trying to reach. There are more than 50 roads that access the Parkway in Tennessee, Alabama, and Mississippi. For specific questions concerning how to get to a certain portion of the Parkway, please call the Visitor Center at 1-800-305-7417.",http://www.nps.gov/natr/planyourvisit/directions.htm,Natchez Trace Parkway,https://www.nps.gov/natr/index.htm,"Mississippi, Alabama, and most of Tennessee are classified as humid subtropical climates. The weather ranges from mild winters to hot summers. Average high temperatures reach into the high 80's in summer, and into the high 40's in winter. Thunderstorms are common in Mississippi, especially in the southern part of the state, and from June through November, the state is occasionally affected by hurricanes moving north from the Gulf of Mexico. Check local forecasts to plan your trip.",Natchez Trace
385,UT,"lat:37.6045329, long:-110.0022436","Three majestic natural bridges invite you to ponder the power of water in a landscape usually defined by its absence. View them from an overlook, or hit the trails and experience their grandeur from below. Declared a National Monument in 1908, the bridges are named ""Kachina,"" ""Owachomo"" and ""Sipapu"" in honor of the ancestral Puebloans who once made this place their home.",National Monument,nabr,5A4DD23B-8B4F-4212-957E-C59FE4165457,"The entrance to Natural Bridges is at the end of UT 275, which is roughly 35 miles west of Blanding, Utah, on UT 95. Driving time from Blanding is roughly 45 minutes.",http://www.nps.gov/nabr/planyourvisit/directions.htm,Natural Bridges National Monument,https://www.nps.gov/nabr/index.htm,"Natural Bridges is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.",Natural Bridges
386,TX,"lat:27.05381186, long:-97.35901135","Padre Island National Seashore separates the Gulf of Mexico from the Laguna Madre, one of a few hypersaline lagoons in the world.  The park protects 70 miles of coastline, dunes, prairies, and wind tidal flats teeming with life.  It is a safe nesting ground for the Kemp’s ridley sea turtle and a haven for over 380 bird species.  It also has a rich history, including the Spanish shipwrecks of 1554.",National Seashore,pais,7F7E12D2-E295-41D2-8446-BBF5EEF2F8F2,"The National Seashore is located on North Padre Island, southeast of the city of Corpus Christi, Texas. Visitors to the area should head east through Corpus Christi on Highway 358. After crossing the JFK Causeway onto Padre Island, Highway 358 changes to Park Road 22. Continue about 10 miles south on Park Road 22 to reach the park entrance.",http://www.nps.gov/pais/planyourvisit/directions.htm,Padre Island National Seashore,https://www.nps.gov/pais/index.htm,"Padre Island has long, hot summers and short, mild winters. Summers are very humid. Winter can bring strong cold fronts and gale force winds. Most rain falls near the beginning and end of hurricane season (June-October). Average seasonal temperatures (Fahrenheit) are: Spring - high 70s-80s, low 50s-60s; Summer - high mid-90s, low 70s; Fall - high 70s-80s, low 50s-60s; Winter - high 50s-70s, low 30s-40s. Year-round, average wind speed ranges from 5-25 miles per hour. Relative humidity seldom drops below 70%.",Padre Island
387,HI,"lat:21.3670699388264, long:-157.938578897697","At the Pearl Harbor National Memorial, learn about one of the most pivotal moments in US history: the attack on Pearl Harbor, and the subsequent entry of the United States into World War II.",National Memorial,valr,0B61230F-375C-4392-BDF0-BB3FC43D2CFE,"Please input our address rather than just ""Pearl Harbor,"" as this will take you to the active military base, not the Pearl Harbor Visitor Center.",http://www.nps.gov/pearlharbor/planyourvisit/directions.htm,Pearl Harbor National Memorial,https://www.nps.gov/valr/index.htm,"Hawaii has two seasons – winter (ho'oilo) and summer (kau wela) – and temperatures don't change drastically the way they do in the mainland United States. During the day, expect temperatures in the mid-70s to the mid-80s all year around. Expect lows in the winter months (November to March) to be around 60 degrees. The Hawaiian winter is also considered the rainy season, and flash floods are not uncommon. You can expect to see lots of rainbows as the rain clears.",Pearl Harbor
388,"CA,CO,KS,MO,NE,NV,UT,WY",,It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph.,National Historic Trail,poex,A0125F49-080E-4292-BD91-C1FA1657F547,"You can visit many sites of the Pony Express National Historic Trail over the 1,800-mile historic route that crosses 8 states.",http://www.nps.gov/poex/planyourvisit/directions.htm,Pony Express National Historic Trail,https://www.nps.gov/poex/index.htm,"Due to the length of the Pony Express National Historic Trail,  be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: www.weather.gov",Pony Express
389,IL,"lat:41.69429163, long:-87.60873824","In a growing Chicago neighborhood, diverse people and stories intertwine. All were seeking opportunity. Some succeeded. Others were limited—by race, gender, or economic status. Their stories came together in Pullman, a planned community famed for its urban design and architecture.",National Monument,pull,36223C80-D2F3-45E3-9C44-BEA58A072985,For detailed directions please visit the park's website.,http://www.nps.gov/pull/planyourvisit/directions.htm,Pullman National Monument,https://www.nps.gov/pull/index.htm,"The park lies in a humid continental zone with a generally temperate climate. Chicago winters are mildly cold with average temperatures around 26 degrees (F). Summers are hot and humid with an average temperature around 72 degrees (F). Average annual total rainfall is about 36"". Snowfall in the winter is moderate with an average total snowfall of about 38"".",Pullman
390,DC,"lat:38.95125063, long:-77.05002838","Rock Creek Park is truly a gem in our nation's capital. This 1,754 acre city park was officially authorized in 1890, making it the third national park to be designated by the federal government. It offers visitors the opportunity to escape the bustle of the city and find a peaceful refuge, recreation, fresh air, majestic trees, wild animals, and thousands of years of human history.",Park,rocr,D06293DF-25C4-4065-B0C7-BA5A225D3BF3,"Ample parking for hiking, biking and visiting the Nature Center is located at 5200 Glover Rd, NW. Administrative offices are located at 3545 Williamsburg Lane, NW.
Rock Creek Park is a large urban park stretching from the Maryland - DC border to the Potomac River. Rock  Creek Park also administers 99 separate neighborhood small sites. A large network of public roads provide access to all points administered by Rock Creek Park.",http://www.nps.gov/rocr/planyourvisit/directions.htm,Rock Creek Park,https://www.nps.gov/rocr/index.htm,"Weather in D.C. is often erratic
Spring: Pleasant, Avg. High: 67° Avg. Low: 44.3°, Avg. Precipitation: 12.1”
Summer: Hot & Humid, Avg. High: 87°, Avg. Low: 66°, Avg. Precipitation: 12.7”, July is the hottest month
Fall: Pleasant, Avg. High: 69°, Avg. Low: 48.3°, Avg. Precipitation: 11.6”
Winter: Mild, Avg. High: 45°, Avg. Low: 27.3°, Avg. Precipitation: 9.3”, Avg. Snowfall: 15.4”
January is coolest month
Hurricanes may impact D.C. in late summer and fall
Light droughts are not uncommon in summer",Rock Creek
391,NH,"lat:43.4997238, long:-72.37333969","Augustus Saint-Gaudens, one of America's greatest sculptors lived here seasonally starting in 1885, and year-round 1900 until his death in 1907. Experience the park grounds, where several of Saint-Gaudens bronze sculptures are on view throughout the year, & trails wind through the woods. Explore the site on our own with caution for winter conditions, or check out the park's menu of winter programs",National Historical Park,saga,0FC25325-87AA-4325-A6B7-C404D94B16DB,"From West Lebanon, NH, (at Exit 20 of Interstate Rt 89) take Route 12A south for about 12 miles, Saint-Gaudens Road will be on the left. Proceed up Saint-Gaudens Road .5 miles. The parking lot will be on your right.

From Windsor, Vermont, For passenger vehicles, take bridge Street cross the Connecticut River via the covered bridge. Caution: the bridge is closed to RVs, trucks and busses. At the end of the covered Bridge in New Hampshire, turn left. Saint Gaudens Road will be on you right in one mile.",http://www.nps.gov/saga/planyourvisit/directions.htm,Saint-Gaudens National Historical Park,https://www.nps.gov/saga/index.htm,"The upper Connecticut River valley is located in a temperate climate. While some summer days may be hot and humid, the average summer temperature ranges in the 70s and lower 80s. Temperatures in the fall are normally in the upper 60s, with evenings dropping into the upper 40s and lower 50s.

Winters can be cold with daily temperatures usually in the 20s and occasionally dropping to below zero. Snow may be heavy from mid December through March.",Saint-Gaudens
392,MA,"lat:42.52024529, long:-70.88640867","When the United States was young, sailors, merchants, and privateers ventured all over the world from Salem, Massachusetts to bring new and exotic goods home to America. In this nine acre park, explore the historic buildings, wharves, and replica tallship that tell the stories of the residents of Salem who helped build the foundation for one of the most powerful national economies in the world.",National Historic Site,sama,3C5998C3-F130-4E4C-8BA4-C1B25E728CE0,"From Route 128, take exit 25A, Route 114 East to Salem. Follow Route 114 into Salem where it will become North Street, then Summer Street (pass the Witch House on the right). Turn left onto Norman Street and then stay straight through the traffic light onto Derby Street (note: Route 114 will turn right at this corner toward Marblehead). Follow Derby Street throught the traffic light straight past the Beverly Cooperative Bank to the next intersection.",http://www.nps.gov/sama/planyourvisit/directions.htm,Salem Maritime National Historic Site,https://www.nps.gov/sama/index.htm,"Hot, humid summers. Cold, snowy winters.",Salem Maritime
393,PR,"lat:18.46873857, long:-66.11848623",San Juan National Historic Site preserves stories of great ambition and aspirations. Countries fought for control of this tiny yet strategic island for centuries. Generations of soldiers have lived and worked within the forts. Visitors today are as inspired by these stories as they are by the beauty of the architecture and the ingenuity of design and engineering of this World Heritage Site.,National Historic Site,saju,2E4D4918-95DF-4D99-9DEC-C6ADEB330281,"From Luis Muñoz Marín International Airport

- Get on Expreso Roman Baldorioty de Castro/PR-26 from Av. Aeropuerto
 
- Merge onto Expreso Roman Baldorioty de Castro/PR-26
 
- Follow Avenida Luis Muñoz Rivera to Calle Norzagaray, Old San Juan",https://goo.gl/maps/QHVBtZZuwpJ2,San Juan National Historic Site,https://www.nps.gov/saju/index.htm,"Puerto Rico enjoys year round tropical climate. Winters are breeze and summers are mostly hot and humid. It rains all year long with a ""dry"" season in April. Temperatures range from 80's in the winter to 90's in the summer.

The hurricane season starts in June and ends in November. On the longest day, June 22nd, the sun sets around 7pm. On the shortest day, December 22nd, the sun sets around 4:30pm.",San Juan
394,CA,"lat:34.09777606, long:-118.7708619","Hidden in plain sight from Los Angeles, the Santa Monica Mountains offer easy access to surprisingly wild places. Experience the famous beaches of Malibu or explore more than 500 miles of trails. The park abounds with historical and cultural sites, from old movie ranches to Native American centers. What will you and your family discover?",National Recreation Area,samo,6E020F5D-3F97-4A43-88E6-C68254B55F2C,"There are multiple trailheads around the park, so there is not one main entrance.
You can begin your visit at the visitor center, located off Mulholland Highway in Calabasas.
The Santa Monica Mountains are traversed by the 405 Freeway on the east side; crowned by the 101 Freeway on the north and west side; and Highway 1, the Pacific Coast Highway (PCH), on the southern ocean border.",http://www.nps.gov/samo/planyourvisit/directions.htm,Santa Monica Mountains National Recreation Area,https://www.nps.gov/samo/index.htm,Summers are hot and dry while winters are cool and wet.,Santa Monica Mountains
395,NE,"lat:41.83464193, long:-103.7071351","Towering 800 feet above the North Platte River, Scotts Bluff has served as a landmark for peoples from Native Americans to emigrants on the Oregon, California and Mormon Trails to modern travelers. Rich with geological and paleontological history as well as human history, there is much to discover while exploring the 3,000 acres of Scotts Bluff National Monument.",National Monument,scbl,48ED0744-7B8A-4FFD-BEFC-C4AC22A7D649,"Visitors traveling east-west on Interstate 80 can exit at Kimball, Nebraska and drive 45 miles north on Highway 71. Follow National Park Service signs three miles west of Gering, Nebraska on Old Oregon Trail (State Highway 92 West).

Visitors following Old Oregon Trail along the North Platte River using State Highway 26 or 92, should follow the National Park Service signs.",http://www.nps.gov/scbl/planyourvisit/directions.htm,Scotts Bluff National Monument,https://www.nps.gov/scbl/index.htm,"Summers at Scotts Bluff are generally dry and high temperatures are usually in the 80's and 90's, although they can reach above 100 on occasion. Hikers are strongly advised to carry water.
Winter daytime temperatures are usually in the 40's or low 50's, with overnight lows below freezing and, on occasion, below 0 degrees Fahrenheit.
Although it can be windy any time of the year, spring is the windiest season.",Scotts Bluff
396,NY,"lat:40.7337799072266, long:-74.0006866455078","Before the 1960s almost everything about living openly as a lesbian, gay, bisexual, transgender, or queer (LGBTQ) person was illegal. New York City laws against homosexual activities were particularly harsh. The Stonewall Uprising on June 28, 1969 is a milestone in the quest for LGBTQ civil rights and provided momentum for a movement.",National Monument,ston,E65E7D88-D280-4B41-B700-BF1DC219BA38,"Christopher Park is bounded by Christopher, Grove, and West Fourth Streets. By subway, take the Broadway 1 Line - 7th Avenue local to Christopher Street-Sheridan Square Station; or via the 7th Avenue bus line on the M8 or M20. From Jersey City, take the Holland Tunnel to Ericsson Pl, via exit 3, then take the Avenue of the Americas north to Christopher Street. From Brooklyn take the Manhattan Bridge to Canal Street, then take the Avenue of the Americas north to Christopher Street.",http://www.nps.gov/ston/planyourvisit/directions.htm,Stonewall National Monument,https://www.nps.gov/ston/index.htm,New York City experiences all four seasons. It is typically hot in the summer and cold in the winter with cool springs and autumns.,Stonewall
397,NY,"lat:42.2257060702034, long:-73.8615486408817","In 1825, America was still a new nation, just forming its own unique identity and traditions. Thomas Cole invented a new style of art, one that Americans could call their own. His landscape paintings launched the art movement known as the Hudson River School.

His groundbreaking achievements took place here in Catskill, New York -- in the ""peaceful shades"" of his beloved home, Cedar Grove.",National Historic Site,thco,FE5E320D-BFCC-41EE-8113-BFEA9D6CA8CD,"The Thomas Cole National Historic Site is located at 218 Spring Street, near the western entrance to the Rip Van Winkle Bridge, in the village of Catskill, New York, at the foot of the Catskill Mountains in the Hudson Valley.",http://www.thomascole.org/hours/,Thomas Cole National Historic Site,https://www.nps.gov/thco/index.htm,"For details and information, visit, http://www.thomascole.org/.",Thomas Cole
398,DC,"lat:38.89096297, long:-77.04765735","Honoring the men and women who served in the controversial Vietnam War, the Vietnam Veterans Memorial chronologically lists the names of more than 58,000 Americans who gave their lives in service to their country.",Memorial,vive,DFCBAD2C-0B0A-47E8-9C3C-BF55BB3409B2,"GPS Coordinates: 38.891112, -77.047626
Address: 5 Henry Bacon Drive NW, Washington, D.C.
Nearest Intersection: Henry Bacon Drive & Constitution Ave. NW",http://www.nps.gov/vive/planyourvisit/directions.htm,Vietnam Veterans Memorial,https://www.nps.gov/vive/index.htm,"Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter.

Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees

Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees

Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees

Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees

(Source: www.usclimatedata.com)",Vietnam Veterans
399,OH,"lat:39.11970352, long:-84.50758951","High atop one of Cincinnati's most prominent hilltops stands the two-story Greek Revival house where William Howard Taft was born and grew up. Hard work, a good education, and an interest in civic duty are attributes that made the Taft family outstanding leaders over the years. The environment that shaped Taft's character and philosophy  is highlighted  on a visit to the site.",National Historic Site,wiho,8CB65BC9-2A9D-4AA0-A5E2-B64E9CDA1575,"From I-71 north; Take Exit 2 (Reading Road and Eden Park Drive). Stay in right lane; turn left at first stoplight onto Dorchester Avenue, and go to the top of the hill. Turn right on Auburn Avenue and go 1 ½ blocks to the site. Park will be on the right.

From I-71S, take Exit 3 (Taft Road). Follow Taft Road westbound.  Go 0.75 mile to Auburn Avenue. Turn left and go 0.5 mile to the site. Park will be on the left.",http://www.nps.gov/wiho/planyourvisit/directions.htm,William Howard Taft National Historic Site,https://www.nps.gov/wiho/index.htm,"The park lies in a humid continental zone with a generally temperate climate. Winters are mildly cold with average temperatures around 48 degrees (F). Summers are hot and humid with an average temperature around 77 degrees (F). Average annual total rainfall is just under 40"". Snowfall in the winter is generally light with an average total snowfall of less than 12""",William Howard Taft
400,NE,"lat:42.42170419, long:-103.753886","During the 1890s, scientists rediscovered what the Lakota Sioux already knew—bones preserved in one of the world's most significant Miocene Epoch mammal sites.

Yet, this place called ""Agate"" is a landscape that reflects many influences—from early animals roaming the valleys and hills, to tribal nations calling the High Plains home, to explorers passing through or settling in the American West.",National Monument,agfo,64B9F127-31ED-43C9-882D-D7CD471AF314,"If traveling east or west on U.S. Highway 20 go 22 miles south of Harrison, NE on State Hwy 29 then 3 miles east on River Road (paved) If traveling east or west on U.S. Highway 26 go 34 miles north of Mitchell, NE on State Hwy 29 then 3 miles east on River Road (paved).

Also accessible from State Hwy 71, 25 miles on unpaved River Road.",http://www.nps.gov/agfo/planyourvisit/directions.htm,Agate Fossil Beds National Monument,https://www.nps.gov/agfo/index.htm,"Summers can be very warm, high 90's to 100 with the possibility of thunderstorms late afternoons.  Winter temperatures can dip as low as -20 with some snow and wind.  Heaviest snows can be expected in late Spring.",Agate Fossil Beds
401,AK,,"Alaska’s parks, forests, and refuges are rich and varied. The Anchorage Interagency Visitor Center helps visitors and residents to have meaningful, safe, enjoyable experiences on public lands, and encourages them to sustain the natural and cultural resources of Alaska. This center and three others statewide provide trip-planning, interpretation, and education for all ages.",,anch,7D6098F9-3F75-4775-A56D-CD9C7F9A9488,"Anchorage APLIC is located in downtown Anchorage on 4th Avenue, in the Federal Building.",http://alaskacenters.gov/anchorage-directions.cfm,Alaska Public Lands,https://www.nps.gov/anch/index.htm,"Visitors center is located inside the Federal Building and weather conditions are seasonal conditions of the Anchorage area, outside the facility.",Alaska Public Lands
402,AK,"lat:53.9143076, long:-166.5197218","During World War II the remote Aleutian Islands, home to the Unangax̂ (Aleut) people for over 8,000 years, became a fiercely contested battleground in the Pacific. This thousand-mile-long archipelago saw invasion by Japanese forces, the occupation of two islands; a mass relocation of Unangax̂ civilians; a 15-month air war; and one of the deadliest battles in the Pacific Theater.",National Historic Area,aleu,94B046DC-2AFD-4ECB-A60D-CE210A8550B1,The park is located on Amaknak Island in the Aleutian Island chain. The island is located 800 miles west of Anchorage.  The island can be reached by commercial or charter air flights from Anchorage. Commercial flights to Unalaska include Pen Air and Alaska Airlines. The Alaska Marine Highway is a ferry service that is operated by the state that can be used to reach the island.  The Aleutian World War II Visitor Center is located at the Unalaska airport.,http://www.nps.gov/aleu/planyourvisit/directions.htm,Aleutian Islands World War II National Historic Area,https://www.nps.gov/aleu/index.htm,"The Aleutian Islands are known for unpredictable and stormy weather. Rain, fog, and wind are common. Dress warmly and carry rain gear even in summer. Summer temperatures range from 45 to 65 degrees F. Early summer and fall often have clear sunny days with spectacular views of the surrounding volcanoes.",Aleutian Islands World War II
403,MP,"lat:15.21680033, long:145.7231096","American Memorial Park honors the American and Marianas people who gave their lives during the Marianas Campaign of World War II. 5,204 names are inscribed on a memorial which was dedicated during the 50th Anniversary of the Invasion of Saipan. Within the 133-acre boundary are white beaches, sporting areas, picnic sites, playgrounds, walkways, and a 30-acre protected wetland and mangrove forest.",Park,amme,A0B4CA5E-608A-4DF2-8EFB-E2E4619EA243,"The park is centrally located along the western shoreline of Saipan, adjacent to downtown Garapan.
From airport, proceed north on Airport Road (Tun Herman Pan Highway) until the road ends at Monsignor Guerrero Road (Highway 16). Turn left and continue until the road ends at Beach Road. Turn right until the road ends at the American Memorial Park Mall. Turn left onto Micro Beach Road. The parking lot is on the right.",https://www.nps.gov/amme/planyourvisit/directions.htm,American Memorial Park,https://www.nps.gov/amme/index.htm,"Saipan Island has a tropical rainforest climate with no dry season. 
The temperature varies from 75°F to 88°F and is rarely below 73°F or above 90°F.The climate is tropical, hot and humid throughout the year, with a relatively cool and dry season from December to June, and a warmer and rainy season from July to November.  The temperatures are stable throughout the year.",American Memorial
